date,exch,cc_code,underly_code,type_code,prod_name,fut_date,opt_date,opt_strike,valuation_meth,max_array_value,contr_value_fact,sett_p,sett_meth,time_to_expr,margin_rate,base_volat,volat_scan_range,price_model
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,47.5,EQTY ,2030,1000,2.03,CASH ,0.016438,1,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,48,EQTY ,160,1000,0.16,CASH ,0.016438,1,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,48,EQTY ,2450,1000,2.45,CASH ,0.016438,1,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,48.5,EQTY ,120,1000,0.12,CASH ,0.016438,1,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,48.5,EQTY ,2910,1000,2.91,CASH ,0.016438,1,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,49,EQTY ,90,1000,0.09,CASH ,0.016438,1,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,49,EQTY ,3380,1000,3.38,CASH ,0.016438,1,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,49.5,EQTY ,70,1000,0.07,CASH ,0.016438,1,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,49.5,EQTY ,3780,1000,3.86,CASH ,0.016438,0.9792746,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,50,EQTY ,60,1000,0.06,CASH ,0.016438,1,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,50,EQTY ,4054,1000,4.35,CASH ,0.016438,0.931954,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,50.5,EQTY ,50,1000,0.05,CASH ,0.016438,1,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,50.5,EQTY ,4267,1000,4.84,CASH ,0.016438,0.8816116,0.323058,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,40.5,EQTY ,4586,1000,5.22,CASH ,0.005479,0.8785441,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,40.5,EQTY ,2,1000,0.01,CASH ,0.005479,0.2,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,41,EQTY ,4342,1000,4.72,CASH ,0.005479,0.9199153,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,41,EQTY ,4,1000,0.01,CASH ,0.005479,0.4,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,41.5,EQTY ,3973,1000,4.22,CASH ,0.005479,0.9414692,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,41.5,EQTY ,9,1000,0.01,CASH ,0.005479,0.9,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,42,EQTY ,3527,1000,3.73,CASH ,0.005479,0.9455764,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,42,EQTY ,20,1000,0.02,CASH ,0.005479,1,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,42.5,EQTY ,3039,1000,3.23,CASH ,0.005479,0.9408669,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,42.5,EQTY ,20,1000,0.02,CASH ,0.005479,1,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,43,EQTY ,2560,1000,2.75,CASH ,0.005479,0.9309091,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,43,EQTY ,40,1000,0.04,CASH ,0.005479,1,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,43.5,EQTY ,2080,1000,2.27,CASH ,0.005479,0.9162996,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,43.5,EQTY ,60,1000,0.06,CASH ,0.005479,1,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,44,EQTY ,1620,1000,1.81,CASH ,0.005479,0.8950276,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,44,EQTY ,100,1000,0.1,CASH ,0.005479,1,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,44.5,EQTY ,1200,1000,1.39,CASH ,0.005479,0.8633094,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,44.5,EQTY ,180,1000,0.18,CASH ,0.005479,1,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,45,EQTY ,810,1000,1,CASH ,0.005479,0.81,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,45,EQTY ,290,1000,0.29,CASH ,0.005479,1,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,45.5,EQTY ,480,1000,0.67,CASH ,0.005479,0.7164179,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,45.5,EQTY ,460,1000,0.46,CASH ,0.005479,1,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,46,EQTY ,410,1000,0.41,CASH ,0.005479,1,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,46,EQTY ,700,1000,0.7,CASH ,0.005479,1,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,46.5,EQTY ,230,1000,0.23,CASH ,0.005479,1,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,46.5,EQTY ,1020,1000,1.02,CASH ,0.005479,1,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,47,EQTY ,130,1000,0.13,CASH ,0.005479,1,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,47,EQTY ,1420,1000,1.42,CASH ,0.005479,1,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,47.5,EQTY ,70,1000,0.07,CASH ,0.005479,1,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,47.5,EQTY ,1860,1000,1.86,CASH ,0.005479,1,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,48,EQTY ,30,1000,0.03,CASH ,0.005479,1,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,48,EQTY ,2320,1000,2.32,CASH ,0.005479,1,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,48.5,EQTY ,20,1000,0.02,CASH ,0.005479,1,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,48.5,EQTY ,2810,1000,2.81,CASH ,0.005479,1,0,42,B
